min_contacts,min_channel_frac,max_channel_frac,max_mean_dist,max_dist,min_area,max_area,max_fill,min_ring_bg,max_ring_fg,min_cut_slenderness,min_cut_mean_image,max_cut_p90_grad,max_rank,top_k_per_image,num_rows,num_images,num_safe_useful,num_risk,safe_rate,risk_rate,mean_delta_dice,mean_delta_iou,mean_delta_recall,mean_delta_boundary_iou,mean_delta_boundary_f1,mean_delta_gap_region_fp_rate,mean_delta_component_count_mae,mean_delta_merged_pred_components,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_cut_area,mean_cut_mean_dist_in,mean_cut_bg_channel_frac_after,mean_cut_bg_channel_border_contacts_after,passes_gate
2,0.2,,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,,1.75,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,,1.75,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,0.5,1.55,2.0,8,24,0.5,0.45,0.75,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
2,0.2,0.5,1.55,3.0,8,24,0.5,0.45,0.6,2.0,0.55,0.12,,1,5,5,3,3,0.6,0.6,6.53430238739192e-05,0.00010391567569238,-7.099970638456e-05,-2.542736140604504e-05,-5.927680646951638e-05,-0.00045492260125691846,0.0,0.0,0.3666666666666667,0.576060606060606,18.8,1.3904590162633983,0.41616207936939437,3.6,False
