accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.8,6,0.2
0,0,,,,,,,,0.0,0,0.0,0.1,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.15,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.2,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.25,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.3,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.35,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.4,0,0.25
0,0,,,,,,,,0.0,0,0.0,0.45,0,0.25
4,4,1.0,-0.00010317701621703756,1.467539560283393e-06,-9.818454386809061e-05,-0.0009005461012256306,-0.00016436461855615092,-0.000533908977412012,0.25,3,0.75,0.5,1,0.25
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.55,6,0.25
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.6,6,0.25
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.65,6,0.25
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.7,6,0.25
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.75,6,0.25
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.8,6,0.25
0,0,,,,,,,,0.0,0,0.0,0.1,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.15,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.2,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.25,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.3,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.35,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.4,0,0.3
0,0,,,,,,,,0.0,0,0.0,0.45,0,0.3
4,4,1.0,-0.00010317701621703756,1.467539560283393e-06,-9.818454386809061e-05,-0.0009005461012256306,-0.00016436461855615092,-0.000533908977412012,0.25,3,0.75,0.5,1,0.3
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.55,6,0.3
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.6,6,0.3
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.65,6,0.3
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.7,6,0.3
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.75,6,0.3
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.8,6,0.3
0,0,,,,,,,,0.0,0,0.0,0.1,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.15,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.2,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.25,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.3,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.35,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.4,0,0.35
0,0,,,,,,,,0.0,0,0.0,0.45,0,0.35
4,4,1.0,-0.00010317701621703756,1.467539560283393e-06,-9.818454386809061e-05,-0.0009005461012256306,-0.00016436461855615092,-0.000533908977412012,0.25,3,0.75,0.5,1,0.35
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.55,6,0.35
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.6,6,0.35
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.65,6,0.35
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.7,6,0.35
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.75,6,0.35
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.8,6,0.35
0,0,,,,,,,,0.0,0,0.0,0.1,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.15,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.2,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.25,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.3,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.35,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.4,0,0.4
0,0,,,,,,,,0.0,0,0.0,0.45,0,0.4
4,4,1.0,-0.00010317701621703756,1.467539560283393e-06,-9.818454386809061e-05,-0.0009005461012256306,-0.00016436461855615092,-0.000533908977412012,0.25,3,0.75,0.5,1,0.4
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.55,6,0.4
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.6,6,0.4
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.65,6,0.4
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.7,6,0.4
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.75,6,0.4
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.8,6,0.4
0,0,,,,,,,,0.0,0,0.0,0.1,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.15,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.2,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.25,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.3,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.35,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.4,0,0.45
0,0,,,,,,,,0.0,0,0.0,0.45,0,0.45
4,4,1.0,-0.00010317701621703756,1.467539560283393e-06,-9.818454386809061e-05,-0.0009005461012256306,-0.00016436461855615092,-0.000533908977412012,0.25,3,0.75,0.5,1,0.45
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.55,6,0.45
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.6,6,0.45
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.65,6,0.45
12,12,0.75,0.00036927921108574163,0.00031585000808934577,-6.4058898426117e-05,-0.0006827381739802201,-9.805655619841518e-05,-0.00037615438680906516,0.5,6,0.5,0.7,6,0.45
