bg_proxy_min,adj_bg_min,bg_delta_max,fg_delta_max,action_frac_max,ring_bg_min,max_area,accepted,accepted_images,useful,risk,safe_channel,overerosion,mean_delta_dice,mean_delta_recall,mean_delta_boundary_iou,mean_delta_boundary_f1,mean_delta_gap_region_fp_rate,mean_delta_component_count_mae,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,useful_rate,risk_rate
0.0,0,-1,0,0.75,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,0.75,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,0,1.0,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.5,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,0.75,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,1,1.0,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.5,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,0.75,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,0,-1,999,1.0,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.5,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,0.75,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.0,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.0,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.0,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.0,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.25,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.25,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.25,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.25,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.35,32,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.35,64,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.35,128,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
0.0,1,-1,0,1.0,0.35,999999,1,1,1,0,1,0,0.0001157909730267,0.0,0.0005458213153223,0.0007708649766803,-0.0007860752386299,0.0,0.0,1.0,1.0,0.0
