accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
79,79,0.4936708860759494,6.548399143512226e-05,5.024390605625772e-05,-3.656812516229527e-05,-0.0003471459545739228,-5.860752350981662e-05,-0.00018520362278488502,0.4177215189873418,44,0.5569620253164557,0.45,33,0.15
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.15
87,87,0.5028735632183908,1.97575420335718e-05,1.5345524187163923e-05,-3.932324561536373e-05,-0.0003409957137982625,-6.394325104721612e-05,-0.00018306126594847813,0.40229885057471265,49,0.5632183908045977,0.55,35,0.15
89,89,0.49719101123595505,4.6234448847271326e-05,3.634748867394425e-05,-3.070982767232785e-05,-0.00035861942341333555,-5.034314366444315e-05,-0.0001812562619207795,0.4157303370786517,49,0.550561797752809,0.6,37,0.15
92,92,0.49728260869565216,2.586581384506945e-05,1.834042692115075e-05,-3.150304100838183e-05,-0.000346925311780292,-5.2692655133607706e-05,-0.00018288548883507426,0.40217391304347827,52,0.5652173913043478,0.65,37,0.15
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.7,37,0.15
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.75,37,0.15
92,92,0.4891304347826087,3.253145251972479e-05,2.468371687469063e-05,-2.9689107544907173e-05,-0.0003485390843610048,-4.950861458314951e-05,-0.00018063862702977882,0.40217391304347827,52,0.5652173913043478,0.8,37,0.15
6,6,0.3333333333333333,-0.0001853923516904471,-0.00011020326251197828,-0.00012983766045617426,-0.00017641142059858506,-0.00019828080200468,-0.0002473377388490794,0.16666666666666666,4,0.6666666666666666,0.1,1,0.2
12,12,0.3333333333333333,4.659750828049647e-06,1.4945596487032226e-05,-8.47560307935813e-05,-0.00021939479249787294,-0.00013163885776703207,-0.00018568298517491108,0.25,8,0.6666666666666666,0.15,3,0.2
15,15,0.36666666666666664,2.876860378490109e-05,2.8298286582538932e-05,-7.889463634577579e-05,-0.0002877897223593273,-0.00012456177523984351,-0.00020476461194167314,0.26666666666666666,10,0.6666666666666666,0.2,4,0.2
30,30,0.43333333333333335,0.00016883165241223427,0.00013186461751782535,-2.0006741704040967e-05,-0.00039563126978029854,-3.199535406847772e-05,-0.00015563055630142078,0.4,17,0.5666666666666667,0.25,12,0.2
43,43,0.4883720930232558,7.195070875441196e-05,5.341679863823396e-05,-3.271618902665074e-05,-0.0003667441895651111,-5.404835388227137e-05,-0.00017654945283616908,0.3953488372093023,25,0.5813953488372093,0.3,17,0.2
64,64,0.484375,-6.030728649091639e-05,-4.623313654878781e-05,-4.9124240445235987e-05,-0.00033365466115639175,-8.182853266004188e-05,-0.00020089901272528961,0.40625,37,0.578125,0.35,26,0.2
75,75,0.48,3.9449258045654026e-05,2.8583429722126945e-05,-4.868642795533044e-05,-0.00036236144188229395,-7.813359613604299e-05,-0.00020501264214135858,0.4266666666666667,42,0.56,0.4,32,0.2
79,79,0.4936708860759494,6.548399143512226e-05,5.024390605625772e-05,-3.656812516229527e-05,-0.0003471459545739228,-5.860752350981662e-05,-0.00018520362278488502,0.4177215189873418,44,0.5569620253164557,0.45,33,0.2
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.2
87,87,0.5028735632183908,1.97575420335718e-05,1.5345524187163923e-05,-3.932324561536373e-05,-0.0003409957137982625,-6.394325104721612e-05,-0.00018306126594847813,0.40229885057471265,49,0.5632183908045977,0.55,35,0.2
89,89,0.49719101123595505,4.6234448847271326e-05,3.634748867394425e-05,-3.070982767232785e-05,-0.00035861942341333555,-5.034314366444315e-05,-0.0001812562619207795,0.4157303370786517,49,0.550561797752809,0.6,37,0.2
92,92,0.49728260869565216,2.586581384506945e-05,1.834042692115075e-05,-3.150304100838183e-05,-0.000346925311780292,-5.2692655133607706e-05,-0.00018288548883507426,0.40217391304347827,52,0.5652173913043478,0.65,37,0.2
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.7,37,0.2
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.75,37,0.2
92,92,0.4891304347826087,3.253145251972479e-05,2.468371687469063e-05,-2.9689107544907173e-05,-0.0003485390843610048,-4.950861458314951e-05,-0.00018063862702977882,0.40217391304347827,52,0.5652173913043478,0.8,37,0.2
6,6,0.3333333333333333,-0.0001853923516904471,-0.00011020326251197828,-0.00012983766045617426,-0.00017641142059858506,-0.00019828080200468,-0.0002473377388490794,0.16666666666666666,4,0.6666666666666666,0.1,1,0.25
12,12,0.3333333333333333,4.659750828049647e-06,1.4945596487032226e-05,-8.47560307935813e-05,-0.00021939479249787294,-0.00013163885776703207,-0.00018568298517491108,0.25,8,0.6666666666666666,0.15,3,0.25
15,15,0.36666666666666664,2.876860378490109e-05,2.8298286582538932e-05,-7.889463634577579e-05,-0.0002877897223593273,-0.00012456177523984351,-0.00020476461194167314,0.26666666666666666,10,0.6666666666666666,0.2,4,0.25
30,30,0.43333333333333335,0.00016883165241223427,0.00013186461751782535,-2.0006741704040967e-05,-0.00039563126978029854,-3.199535406847772e-05,-0.00015563055630142078,0.4,17,0.5666666666666667,0.25,12,0.25
43,43,0.4883720930232558,7.195070875441196e-05,5.341679863823396e-05,-3.271618902665074e-05,-0.0003667441895651111,-5.404835388227137e-05,-0.00017654945283616908,0.3953488372093023,25,0.5813953488372093,0.3,17,0.25
64,64,0.484375,-6.030728649091639e-05,-4.623313654878781e-05,-4.9124240445235987e-05,-0.00033365466115639175,-8.182853266004188e-05,-0.00020089901272528961,0.40625,37,0.578125,0.35,26,0.25
75,75,0.48,3.9449258045654026e-05,2.8583429722126945e-05,-4.868642795533044e-05,-0.00036236144188229395,-7.813359613604299e-05,-0.00020501264214135858,0.4266666666666667,42,0.56,0.4,32,0.25
79,79,0.4936708860759494,6.548399143512226e-05,5.024390605625772e-05,-3.656812516229527e-05,-0.0003471459545739228,-5.860752350981662e-05,-0.00018520362278488502,0.4177215189873418,44,0.5569620253164557,0.45,33,0.25
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.25
87,87,0.5028735632183908,1.97575420335718e-05,1.5345524187163923e-05,-3.932324561536373e-05,-0.0003409957137982625,-6.394325104721612e-05,-0.00018306126594847813,0.40229885057471265,49,0.5632183908045977,0.55,35,0.25
89,89,0.49719101123595505,4.6234448847271326e-05,3.634748867394425e-05,-3.070982767232785e-05,-0.00035861942341333555,-5.034314366444315e-05,-0.0001812562619207795,0.4157303370786517,49,0.550561797752809,0.6,37,0.25
92,92,0.49728260869565216,2.586581384506945e-05,1.834042692115075e-05,-3.150304100838183e-05,-0.000346925311780292,-5.2692655133607706e-05,-0.00018288548883507426,0.40217391304347827,52,0.5652173913043478,0.65,37,0.25
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.7,37,0.25
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.75,37,0.25
92,92,0.4891304347826087,3.253145251972479e-05,2.468371687469063e-05,-2.9689107544907173e-05,-0.0003485390843610048,-4.950861458314951e-05,-0.00018063862702977882,0.40217391304347827,52,0.5652173913043478,0.8,37,0.25
6,6,0.3333333333333333,-0.0001853923516904471,-0.00011020326251197828,-0.00012983766045617426,-0.00017641142059858506,-0.00019828080200468,-0.0002473377388490794,0.16666666666666666,4,0.6666666666666666,0.1,1,0.3
12,12,0.3333333333333333,4.659750828049647e-06,1.4945596487032226e-05,-8.47560307935813e-05,-0.00021939479249787294,-0.00013163885776703207,-0.00018568298517491108,0.25,8,0.6666666666666666,0.15,3,0.3
15,15,0.36666666666666664,2.876860378490109e-05,2.8298286582538932e-05,-7.889463634577579e-05,-0.0002877897223593273,-0.00012456177523984351,-0.00020476461194167314,0.26666666666666666,10,0.6666666666666666,0.2,4,0.3
30,30,0.43333333333333335,0.00016883165241223427,0.00013186461751782535,-2.0006741704040967e-05,-0.00039563126978029854,-3.199535406847772e-05,-0.00015563055630142078,0.4,17,0.5666666666666667,0.25,12,0.3
43,43,0.4883720930232558,7.195070875441196e-05,5.341679863823396e-05,-3.271618902665074e-05,-0.0003667441895651111,-5.404835388227137e-05,-0.00017654945283616908,0.3953488372093023,25,0.5813953488372093,0.3,17,0.3
64,64,0.484375,-6.030728649091639e-05,-4.623313654878781e-05,-4.9124240445235987e-05,-0.00033365466115639175,-8.182853266004188e-05,-0.00020089901272528961,0.40625,37,0.578125,0.35,26,0.3
75,75,0.48,3.9449258045654026e-05,2.8583429722126945e-05,-4.868642795533044e-05,-0.00036236144188229395,-7.813359613604299e-05,-0.00020501264214135858,0.4266666666666667,42,0.56,0.4,32,0.3
79,79,0.4936708860759494,6.548399143512226e-05,5.024390605625772e-05,-3.656812516229527e-05,-0.0003471459545739228,-5.860752350981662e-05,-0.00018520362278488502,0.4177215189873418,44,0.5569620253164557,0.45,33,0.3
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.3
87,87,0.5028735632183908,1.97575420335718e-05,1.5345524187163923e-05,-3.932324561536373e-05,-0.0003409957137982625,-6.394325104721612e-05,-0.00018306126594847813,0.40229885057471265,49,0.5632183908045977,0.55,35,0.3
89,89,0.49719101123595505,4.6234448847271326e-05,3.634748867394425e-05,-3.070982767232785e-05,-0.00035861942341333555,-5.034314366444315e-05,-0.0001812562619207795,0.4157303370786517,49,0.550561797752809,0.6,37,0.3
92,92,0.49728260869565216,2.586581384506945e-05,1.834042692115075e-05,-3.150304100838183e-05,-0.000346925311780292,-5.2692655133607706e-05,-0.00018288548883507426,0.40217391304347827,52,0.5652173913043478,0.65,37,0.3
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.7,37,0.3
92,92,0.4945652173913043,3.0006359433413582e-05,2.2609106931835494e-05,-3.0197230674720792e-05,-0.0003485390843610048,-5.041224047239228e-05,-0.00018161054129916545,0.40217391304347827,52,0.5652173913043478,0.75,37,0.3
92,92,0.4891304347826087,3.253145251972479e-05,2.468371687469063e-05,-2.9689107544907173e-05,-0.0003485390843610048,-4.950861458314951e-05,-0.00018063862702977882,0.40217391304347827,52,0.5652173913043478,0.8,37,0.3
6,6,0.3333333333333333,-0.0001853923516904471,-0.00011020326251197828,-0.00012983766045617426,-0.00017641142059858506,-0.00019828080200468,-0.0002473377388490794,0.16666666666666666,4,0.6666666666666666,0.1,1,0.35
12,12,0.3333333333333333,4.659750828049647e-06,1.4945596487032226e-05,-8.47560307935813e-05,-0.00021939479249787294,-0.00013163885776703207,-0.00018568298517491108,0.25,8,0.6666666666666666,0.15,3,0.35
15,15,0.36666666666666664,2.876860378490109e-05,2.8298286582538932e-05,-7.889463634577579e-05,-0.0002877897223593273,-0.00012456177523984351,-0.00020476461194167314,0.26666666666666666,10,0.6666666666666666,0.2,4,0.35
30,30,0.43333333333333335,0.00016883165241223427,0.00013186461751782535,-2.0006741704040967e-05,-0.00039563126978029854,-3.199535406847772e-05,-0.00015563055630142078,0.4,17,0.5666666666666667,0.25,12,0.35
43,43,0.4883720930232558,7.195070875441196e-05,5.341679863823396e-05,-3.271618902665074e-05,-0.0003667441895651111,-5.404835388227137e-05,-0.00017654945283616908,0.3953488372093023,25,0.5813953488372093,0.3,17,0.35
64,64,0.484375,-6.030728649091639e-05,-4.623313654878781e-05,-4.9124240445235987e-05,-0.00033365466115639175,-8.182853266004188e-05,-0.00020089901272528961,0.40625,37,0.578125,0.35,26,0.35
75,75,0.48,3.9449258045654026e-05,2.8583429722126945e-05,-4.868642795533044e-05,-0.00036236144188229395,-7.813359613604299e-05,-0.00020501264214135858,0.4266666666666667,42,0.56,0.4,32,0.35
79,79,0.4936708860759494,6.548399143512226e-05,5.024390605625772e-05,-3.656812516229527e-05,-0.0003471459545739228,-5.860752350981662e-05,-0.00018520362278488502,0.4177215189873418,44,0.5569620253164557,0.45,33,0.35
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.35
87,87,0.5028735632183908,1.97575420335718e-05,1.5345524187163923e-05,-3.932324561536373e-05,-0.0003409957137982625,-6.394325104721612e-05,-0.00018306126594847813,0.40229885057471265,49,0.5632183908045977,0.55,35,0.35
89,89,0.49719101123595505,4.6234448847271326e-05,3.634748867394425e-05,-3.070982767232785e-05,-0.00035861942341333555,-5.034314366444315e-05,-0.0001812562619207795,0.4157303370786517,49,0.550561797752809,0.6,37,0.35
90,90,0.49444444444444446,3.857472815198949e-05,3.064673726552015e-05,-3.1826158773395896e-05,-0.0003546347631531874,-5.2223900823951245e-05,-0.0001817364919956932,0.4111111111111111,50,0.5555555555555556,0.65,37,0.35
91,91,0.4945054945054945,3.207050595225662e-05,2.403726568167106e-05,-3.2981301570769884e-05,-0.0003523691841891477,-5.427870657576228e-05,-0.0001836062615332222,0.4065934065934066,51,0.5604395604395604,0.7,37,0.35
91,91,0.4945054945054945,3.207050595225662e-05,2.403726568167106e-05,-3.2981301570769884e-05,-0.0003523691841891477,-5.427870657576228e-05,-0.0001836062615332222,0.4065934065934066,51,0.5604395604395604,0.75,37,0.35
91,91,0.489010989010989,3.462334731424158e-05,2.6134673535986144e-05,-3.2467594670298965e-05,-0.0003523691841891477,-5.3365150731692666e-05,-0.0001826236668872489,0.4065934065934066,51,0.5604395604395604,0.8,37,0.35
6,6,0.3333333333333333,-0.0001853923516904471,-0.00011020326251197828,-0.00012983766045617426,-0.00017641142059858506,-0.00019828080200468,-0.0002473377388490794,0.16666666666666666,4,0.6666666666666666,0.1,1,0.4
12,12,0.3333333333333333,4.659750828049647e-06,1.4945596487032226e-05,-8.47560307935813e-05,-0.00021939479249787294,-0.00013163885776703207,-0.00018568298517491108,0.25,8,0.6666666666666666,0.15,3,0.4
15,15,0.36666666666666664,2.876860378490109e-05,2.8298286582538932e-05,-7.889463634577579e-05,-0.0002877897223593273,-0.00012456177523984351,-0.00020476461194167314,0.26666666666666666,10,0.6666666666666666,0.2,4,0.4
30,30,0.43333333333333335,0.00016883165241223427,0.00013186461751782535,-2.0006741704040967e-05,-0.00039563126978029854,-3.199535406847772e-05,-0.00015563055630142078,0.4,17,0.5666666666666667,0.25,12,0.4
43,43,0.4883720930232558,7.195070875441196e-05,5.341679863823396e-05,-3.271618902665074e-05,-0.0003667441895651111,-5.404835388227137e-05,-0.00017654945283616908,0.3953488372093023,25,0.5813953488372093,0.3,17,0.4
64,64,0.484375,-6.030728649091639e-05,-4.623313654878781e-05,-4.9124240445235987e-05,-0.00033365466115639175,-8.182853266004188e-05,-0.00020089901272528961,0.40625,37,0.578125,0.35,26,0.4
75,75,0.48,3.9449258045654026e-05,2.8583429722126945e-05,-4.868642795533044e-05,-0.00036236144188229395,-7.813359613604299e-05,-0.00020501264214135858,0.4266666666666667,42,0.56,0.4,32,0.4
