accepted,accepted_images,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,num_hard_risk,num_images,num_overerosion_proxy,num_quick_useful,num_rows,num_safe_gap_positive,risk_threshold,useful_threshold
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.2,0.4
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.3,0.4
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.4,0.4
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.5,0.4
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.02,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.05,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.1,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.15,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.2,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.3,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.4,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.5,0.5
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.02,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.05,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.1,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.15,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.2,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.3,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.4,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.5,0.6
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.02,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.05,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.1,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.15,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.2,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.3,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.4,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.5,0.7
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.02,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.05,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.1,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.15,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.2,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.3,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.4,0.8
9,9,0.6617063492063492,0.3382936507936508,-0.00015737724756311375,-0.0001385732613441545,0.0,-4.959438786655834e-05,-0.0002061028310670713,-8.758458253387157e-05,-0.00016550305078281516,5,9,6,4,9,1,0.5,0.8
