mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,mean_threshold,meets_metric_gate,p10_threshold,passes_gate,risk,safe_useful,selected,selected_images
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.009151960511233051,False,0.740569288807517,False,52,13,64,64
0.5978779285230899,0.3827672327672328,-2.315250476446887e-05,-2.7328339898804516e-05,0.03225806451612903,-4.3888097632308146e-05,-0.00020836825266708976,-7.390250801341294e-05,-0.00015328645819688165,0.009151960511233051,False,0.8,False,51,12,62,62
0.5824232371402182,0.3949352534258195,-7.364614734582795e-05,-6.556545596280853e-05,0.03773584905660377,-3.437743383248514e-05,-0.00020651839255489936,-5.75476267459471e-05,-0.00012769004669044921,0.009151960511233051,False,0.9242019609306937,False,44,10,53,53
0.5793120145160962,0.40027982221859776,-6.505187998822592e-05,-5.793224262368848e-05,0.04081632653061224,-3.235935549134152e-05,-0.0002088985411499637,-5.447680819312412e-05,-0.00012110560415902217,0.009151960511233051,False,0.9651279892724264,False,40,9,49,49
0.5880061427933768,0.39071726146194236,-7.297545715243288e-05,-6.372523301109947e-05,0.0425531914893617,-3.4634068982985096e-05,-0.0002035929583842813,-5.828106806804456e-05,-0.00012129443995398806,0.009151960511233051,False,0.9739416979264692,False,39,8,47,47
0.6174187367006516,0.36981530585253986,-0.00010993538807140935,-9.942018465596992e-05,0.02127659574468085,-0.00011971987484771949,-0.0002530823667719946,-0.00018837898990571323,-0.00031909184747941593,0.020761928892679242,False,0.0023403252034784076,False,81,15,94,94
0.6180092607511963,0.36908751344235213,-0.00011015591018238205,-9.949688695215404e-05,0.021505376344086023,-0.00011999956171704948,-0.0002502162118879351,-0.00018864440316929847,-0.00031684736971181616,0.020761928892679242,False,0.0034134361456128115,False,80,15,93,93
0.6066960179029144,0.37951087864880967,-2.1144975419192816e-06,-1.8710389364203083e-05,0.022988505747126436,-5.9251675471577406e-05,-0.00025660793852142876,-9.919460685452808e-05,-0.00020254231813327547,0.020761928892679242,False,0.015343482616391858,False,75,14,87,87
0.5861916231916232,0.3978083768083769,4.0572103393088366e-05,1.1878999944398005e-05,0.02666666666666667,-3.282984359740541e-05,-0.00027234384282824164,-5.943597824273524e-05,-0.00016693503777759133,0.020761928892679242,False,0.1,False,63,13,75,75
0.5945686160474893,0.3885299755018065,1.9898391978329882e-05,-2.910002976144313e-06,0.028169014084507043,-3.496618119989168e-05,-0.00024883954279111733,-6.314512210787387e-05,-0.00016369511725806445,0.020761928892679242,False,0.2,False,59,13,71,71
0.5958604599908948,0.38674823566127914,2.045173001150438e-05,-2.9270189325564004e-06,0.028985507246376812,-3.607204023880878e-05,-0.0002510031296524601,-6.505200248452971e-05,-0.00016684748433402031,0.020761928892679242,False,0.3,False,57,13,69,69
0.5899172314613491,0.3924357097151215,6.896924295174044e-05,3.908785162176223e-05,0.029411764705882353,-2.783271252802892e-05,-0.00025469435214734923,-5.074638843427759e-05,-0.00015302045695340694,0.020761928892679242,False,0.4,False,56,13,68,68
0.5889998049088958,0.392818376909286,7.026940282823027e-05,4.03738070660103e-05,0.030303030303030304,-2.704595250390903e-05,-0.0002497298663923052,-5.013901712745893e-05,-0.0001521959263019793,0.020761928892679242,False,0.5,False,54,13,66,66
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.020761928892679242,False,0.6,False,52,13,64,64
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.020761928892679242,False,0.7,False,52,13,64,64
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.020761928892679242,False,0.740569288807517,False,52,13,64,64
0.5978779285230899,0.3827672327672328,-2.315250476446887e-05,-2.7328339898804516e-05,0.03225806451612903,-4.3888097632308146e-05,-0.00020836825266708976,-7.390250801341294e-05,-0.00015328645819688165,0.020761928892679242,False,0.8,False,51,12,62,62
0.5824232371402182,0.3949352534258195,-7.364614734582795e-05,-6.556545596280853e-05,0.03773584905660377,-3.437743383248514e-05,-0.00020651839255489936,-5.75476267459471e-05,-0.00012769004669044921,0.020761928892679242,False,0.9242019609306937,False,44,10,53,53
0.5793120145160962,0.40027982221859776,-6.505187998822592e-05,-5.793224262368848e-05,0.04081632653061224,-3.235935549134152e-05,-0.0002088985411499637,-5.447680819312412e-05,-0.00012110560415902217,0.020761928892679242,False,0.9651279892724264,False,40,9,49,49
0.5880061427933768,0.39071726146194236,-7.297545715243288e-05,-6.372523301109947e-05,0.0425531914893617,-3.4634068982985096e-05,-0.0002035929583842813,-5.828106806804456e-05,-0.00012129443995398806,0.020761928892679242,False,0.9739416979264692,False,39,8,47,47
