accepted,action_frac,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,overerosion_proxy,pred_component_id,r240_gate_risk,r240_gate_safe_gain,reject_reason,ring_bg_frac,ring_fg_frac,run_id,seam_prob_mean,seam_prob_p90,split
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,53.81449618829484,0.7838004510849714,1.086512303352356,0.4370388290794726,0.2796223202538503,1.0,-1.0,0.9025759209010148,bg_seed,0.1386285150468673,0.8224495325836607,0.9049979501323097,0.9001668211306766,4195.0,1.0,1.0,0.00014905906465436928,4.0,2.0,2.0,0.3926592797783934,3.0,1.0,0.0,1.0,2.0,1.5,0.01560191810131073,0.7490196228027344,0.01914429757744074,1.0,0.012087085284292698,0.0006619911778570908,0.0005417537342310985,0.0,0.0,6.709354550471502e-05,-0.00021926218275503118,0.0001114128329157138,0.0001348981479608602,0.0,10375.png,0.0,19.0,0.0,1.0,low_mean_prob,0.375,0.625,R239-gtfree-bg-channel-seam-prob-editor,0.00045548441635473983,0.0004788954737575017,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,42.1070065428546,0.8493165036193105,0.9449611902236938,0.40765920289403107,0.2560125342734038,0.0,0.0,0.8979357386465625,bg_seed,0.19548455095135076,0.8147762069190175,0.8751880751600826,0.9218974604695735,5134.0,1.0,1.0,0.0002099002973587546,6.0,3.0,2.0,0.50944669365722,3.0,1.0,0.0,1.0,2.0,1.4023689270621826,0.023376794531941414,0.7405229210853577,0.02875762153416872,1.5,0.013663100078701973,0.0008964603648651814,0.0007067154935463393,0.0,0.0,9.669779653742605e-05,-0.00033283408221002064,0.0001592189044266057,0.0001837022372209729,0.0,10520.png,0.0,20.0,0.0,1.0,low_mean_prob,0.3888888888888889,0.6111111111111112,R239-gtfree-bg-channel-seam-prob-editor,0.0006684834676469751,0.000921485338836676,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,63.0317380372777,0.9004533688227335,0.9258275270462036,0.3218654084016675,0.19179951954575233,1.0,1.0,0.8874891806492653,bg_seed,0.1942885855455992,0.7977353255469526,0.8967755532139093,0.8783931630988997,6579.0,2.0,1.0,6.322044970813226e-05,3.0,3.0,1.0,0.386001386001386,3.0,1.0,1.0,0.0,1.0,1.0,0.08160675317049026,0.7620915770530701,0.08376664817333221,3.0,0.012940514832735062,-0.00027486371340879057,-0.0001952382765596783,0.0,0.0,-3.4803667077421e-05,0.0,-5.6241915224686245e-05,-6.52589594674069e-06,-6.19284519951524e-05,10618.png,1.0,19.0,1.0,0.0,low_mean_prob,0.5,0.5,R239-gtfree-bg-channel-seam-prob-editor,0.0007964333167224466,0.0007964333167224466,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,30.0,0.8383883476483185,1.25,0.25423057892132606,0.14562666515503656,3.0,-3.0,0.8544086696666318,bg_seed,0.3637540453074434,0.7458232678995554,0.8009766944995531,0.915478919565434,7709.0,1.0,1.0,8.719726200597301e-05,4.0,2.0,2.0,0.5650969529085873,4.0,1.0,0.0,0.0,2.0,1.3535533905932737,0.07440230250358582,0.49117645621299744,0.08928199335932732,1.0,0.015532342717051506,-3.774393708932955e-05,-2.4769247956968332e-05,0.0,0.0,3.973762779685419e-05,0.0,6.0556035148651155e-05,6.984297469103673e-05,0.0,10624.png,0.0,25.0,1.0,0.0,low_mean_prob,0.46875,0.53125,R239-gtfree-bg-channel-seam-prob-editor,0.0015451392869515815,0.0020087358337141418,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,31.0,0.25,0.25,0.4624953993375046,0.30080911571791064,0.0,0.0,0.9495462180811852,bg_seed,0.11915764224487636,0.9039390732133818,0.9587339548050173,0.9405329056043666,30585.0,1.0,1.0,9.760382606998194e-05,8.0,1.0,29.0,0.5488565488565489,3.0,0.27586206896551724,1.0,0.0,1.0,1.0,0.06064016744494438,0.5343137979507446,0.08412768319249153,29.0,0.019286582246422768,-0.00023237537260029084,-0.00019663140852616,0.0,0.0,-5.077538128739345e-05,0.0,-9.203442087335478e-05,-4.027723897848112e-06,-9.576021641810595e-05,12498.png,1.0,19.0,1.0,0.0,low_mean_prob,0.4878048780487805,0.5121951219512195,R239-gtfree-bg-channel-seam-prob-editor,0.0013699743833078763,0.00176549887933695,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,55.44366510251645,0.8349159769713879,1.2304616540670397,0.49666191155492156,0.3303727321035451,1.0,1.0,0.9165917131378545,bg_seed,0.1277671706486403,0.8460261235333185,0.9244353058570953,0.9088801022683355,9928.0,1.0,1.0,0.00012093726379440664,4.0,2.0,2.0,0.5221606648199446,3.0,1.0,0.0,1.0,2.0,1.5,0.03633294999599457,0.5696078538894653,0.05418782345950603,1.0,0.008931796997785568,0.0002298741055866138,0.00020339502404020937,0.0,0.0,5.495813125899751e-05,-0.00020640899943236146,9.363875191292781e-05,0.00011179867644528496,0.0,12627.png,0.0,19.0,0.0,1.0,low_mean_prob,0.375,0.625,R239-gtfree-bg-channel-seam-prob-editor,0.0006594919834533871,0.0009736271337242651,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,25.96150997149434,0.7571865196029345,1.05889093875885,0.5318426831702935,0.36225183573565406,0.0,0.0,0.9052864196678292,bg_seed,0.06037894736842105,0.8269618975523593,0.9481411832778822,0.8661380905186653,2342.0,1.0,1.0,0.00043377674956622325,6.0,7.0,21.0,0.6576907384740922,4.0,0.04081632653061224,0.0,1.0,1.0,1.0,0.061512261629104614,0.5424836277961731,0.08337974920868874,3.0,0.008961639367043972,0.0013853234738684383,0.0012841814817807218,0.0,0.0,0.00018751401657091105,-0.0005052631578947378,0.0003128875889338856,0.00041128160061210117,0.0,13220.png,0.0,22.0,0.0,1.0,low_mean_prob,0.484375,0.515625,R239-gtfree-bg-channel-seam-prob-editor,0.0015251200739290769,0.002183246478791288,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,47.92702786528704,0.7887575015576256,1.0840245962594666,0.48567026194144836,0.3207163207163207,0.0,0.0,0.9162307316732928,bg_seed,0.06498840675720437,0.8454112498391041,0.951516322194321,0.8834685916692822,3938.0,1.0,1.0,0.0002896591677126581,6.0,41.0,19.0,0.41605667060212514,4.0,0.007702182284980745,0.5,0.5,2.0,1.4023689270621826,0.02794312685728073,0.7509803771972656,0.03568446822464466,2.1578947368421053,0.016444111242890358,0.0005553460074671501,0.00048416513134974526,0.0,0.0,-1.1684115813759277e-05,-0.00019874130506790377,-1.9895592041296872e-05,0.00013078584209547106,-0.00013451105232475946,13441.png,1.0,19.0,1.0,0.0,low_mean_prob,0.34375,0.65625,R239-gtfree-bg-channel-seam-prob-editor,0.0015408647000830526,0.0035985674130475237,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,50.00999900019995,0.7983459916417516,1.2615939259980835,0.44630287824935533,0.2872521754732215,0.0,0.0,0.9068562238151023,bg_seed,0.11090561617656125,0.8295854978748138,0.9264473203781086,0.8880765341837131,4349.0,1.0,1.0,0.0002433583451632529,6.0,2.0,48.0,0.5507518796992481,4.0,0.0625,0.8333333333333334,0.16666666666666666,1.4142135623730951,1.2071067811865475,0.03957153484225273,0.5816993713378906,0.050820423290133476,24.0,0.012332000769674778,-0.00021783015951371,-0.0001804995716617741,0.0,0.0,-9.050929454845758e-05,-6.164848036495363e-05,-0.0001514971847618174,2.2660065798763007e-05,-0.00019444660496226174,13454.png,1.0,21.0,1.0,0.0,low_mean_prob,0.34375,0.65625,R239-gtfree-bg-channel-seam-prob-editor,0.0004845829825732908,0.0006486327500015859,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,33.60059523282288,0.8660518266260624,1.1374863296747209,0.26278695126862667,0.15126927089370582,0.0,0.0,0.7885072206930357,bg_seed,0.38031537916371366,0.6508558979147214,0.6905296526218465,0.9188856665787855,3063.0,1.0,1.0,0.00026409613099168095,4.0,2.0,2.0,0.5353185595567868,3.0,1.0,1.0,0.0,2.0,1.5,0.024806750938296318,0.4490196108818054,0.03232058305293322,1.0,0.007069707848131657,-0.0001853409228090852,-0.0001228404752036949,0.0,0.0,-0.00018269448132812727,0.0,-0.00024898848428267506,-8.172992139920954e-05,-0.0003515247385534881,13517.png,1.0,20.0,1.0,0.0,low_mean_prob,0.40625,0.59375,R239-gtfree-bg-channel-seam-prob-editor,0.006170368712517099,0.012720823731414282,val
