accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
85,85,0.3205882352941177,0.00015710238819720656,0.00010947722087548275,-1.9824010495632126e-05,-0.0003134363975612937,-3.499996531182812e-05,-0.00014583804279018196,0.5294117647058824,40,0.47058823529411764,0.65,45,0.4
86,86,0.31976744186046513,0.00017233932987210414,0.00012191071952462023,-1.7246241439885358e-05,-0.0003182546026808799,-3.095480985694929e-05,-0.00014601108910326368,0.5348837209302325,40,0.46511627906976744,0.7,46,0.4
86,86,0.31976744186046513,0.00017233932987210414,0.00012191071952462023,-1.7246241439885358e-05,-0.0003182546026808799,-3.095480985694929e-05,-0.00014601108910326368,0.5348837209302325,40,0.46511627906976744,0.75,46,0.4
86,86,0.31976744186046513,0.00017233932987210414,0.00012191071952462023,-1.7246241439885358e-05,-0.0003182546026808799,-3.095480985694929e-05,-0.00014601108910326368,0.5348837209302325,40,0.46511627906976744,0.8,46,0.4
4,4,0.4375,-0.0001628673472012926,-7.862474815271275e-05,-0.00011218562985129688,-7.681907571287921e-05,-0.00017684467164838513,-0.00025073250891638477,0.25,3,0.75,0.1,1,0.45
7,7,0.35714285714285715,-0.00012329188373908347,-4.220670481644825e-05,-7.40672052633887e-05,-0.00020412944883003398,-0.00011791751201723726,-0.00020368971634667141,0.2857142857142857,5,0.7142857142857143,0.15,2,0.45
13,13,0.3269230769230769,-0.00021374301665769786,-0.00014746493358126138,-7.762558760400388e-05,-0.0002508676769773638,-0.00012835448088335596,-0.00021410629537211589,0.3076923076923077,9,0.6923076923076923,0.2,4,0.45
18,18,0.3333333333333333,-0.00016548361654676757,-0.0001109768728757388,-7.548841146559626e-05,-0.0002556569205776873,-0.00012747411084799523,-0.00021771616400975382,0.3333333333333333,12,0.6666666666666666,0.25,6,0.45
25,25,0.32,-4.884324734683476e-05,-2.8352140218365628e-05,-6.180472678226412e-05,-0.00024426887827702084,-0.00010462515548322671,-0.00019944192426102347,0.36,16,0.64,0.3,9,0.45
35,35,0.32142857142857145,3.81427789060862e-05,2.7964487508262097e-05,-4.0565026462476994e-05,-0.0002991941734585295,-6.96902670098698e-05,-0.00017708588730256064,0.4,21,0.6,0.35,14,0.45
55,55,0.3181818181818182,0.00013196267693982704,9.610857426908057e-05,-1.8936835763933517e-05,-0.0003234607699760433,-3.350051878590862e-05,-0.0001483371862494698,0.509090909090909,27,0.4909090909090909,0.4,28,0.45
66,66,0.3181818181818182,9.678849296422122e-05,6.68743234952712e-05,-2.107506515630126e-05,-0.00031438408678557836,-3.706984115964767e-05,-0.00014830891053176215,0.5,33,0.5,0.45,33,0.45
73,73,0.3184931506849315,0.0001422808050986498,9.522523340211324e-05,-1.9528090323603252e-05,-0.0003326552660973747,-3.539705254152686e-05,-0.00014975887113958115,0.5205479452054794,35,0.4794520547945205,0.5,38,0.45
78,78,0.3173076923076923,0.00013995549221131268,9.59147877458399e-05,-1.8462713905788903e-05,-0.0003238797150131392,-3.344361918700703e-05,-0.00014736933990204358,0.5256410256410257,37,0.47435897435897434,0.55,41,0.45
84,84,0.32142857142857145,0.00015140801103366146,0.00010542470510556881,-2.0749199396649786e-05,-0.00031248876396898766,-3.660612709649326e-05,-0.00014757420996625554,0.5238095238095238,40,0.47619047619047616,0.6,44,0.45
85,85,0.3205882352941177,0.00015710238819720656,0.00010947722087548275,-1.9824010495632126e-05,-0.0003134363975612937,-3.499996531182812e-05,-0.00014583804279018196,0.5294117647058824,40,0.47058823529411764,0.65,45,0.45
86,86,0.31976744186046513,0.00017233932987210414,0.00012191071952462023,-1.7246241439885358e-05,-0.0003182546026808799,-3.095480985694929e-05,-0.00014601108910326368,0.5348837209302325,40,0.46511627906976744,0.7,46,0.45
86,86,0.31976744186046513,0.00017233932987210414,0.00012191071952462023,-1.7246241439885358e-05,-0.0003182546026808799,-3.095480985694929e-05,-0.00014601108910326368,0.5348837209302325,40,0.46511627906976744,0.75,46,0.45
86,86,0.31976744186046513,0.00017233932987210414,0.00012191071952462023,-1.7246241439885358e-05,-0.0003182546026808799,-3.095480985694929e-05,-0.00014601108910326368,0.5348837209302325,40,0.46511627906976744,0.8,46,0.45
4,4,0.4375,-0.0001628673472012926,-7.862474815271275e-05,-0.00011218562985129688,-7.681907571287921e-05,-0.00017684467164838513,-0.00025073250891638477,0.25,3,0.75,0.1,1,0.5
7,7,0.35714285714285715,-0.00012329188373908347,-4.220670481644825e-05,-7.40672052633887e-05,-0.00020412944883003398,-0.00011791751201723726,-0.00020368971634667141,0.2857142857142857,5,0.7142857142857143,0.15,2,0.5
13,13,0.3269230769230769,-0.00021374301665769786,-0.00014746493358126138,-7.762558760400388e-05,-0.0002508676769773638,-0.00012835448088335596,-0.00021410629537211589,0.3076923076923077,9,0.6923076923076923,0.2,4,0.5
18,18,0.3333333333333333,-0.00016548361654676757,-0.0001109768728757388,-7.548841146559626e-05,-0.0002556569205776873,-0.00012747411084799523,-0.00021771616400975382,0.3333333333333333,12,0.6666666666666666,0.25,6,0.5
25,25,0.32,-4.884324734683476e-05,-2.8352140218365628e-05,-6.180472678226412e-05,-0.00024426887827702084,-0.00010462515548322671,-0.00019944192426102347,0.36,16,0.64,0.3,9,0.5
35,35,0.32142857142857145,3.81427789060862e-05,2.7964487508262097e-05,-4.0565026462476994e-05,-0.0002991941734585295,-6.96902670098698e-05,-0.00017708588730256064,0.4,21,0.6,0.35,14,0.5
55,55,0.3181818181818182,0.00013196267693982704,9.610857426908057e-05,-1.8936835763933517e-05,-0.0003234607699760433,-3.350051878590862e-05,-0.0001483371862494698,0.509090909090909,27,0.4909090909090909,0.4,28,0.5
66,66,0.3181818181818182,9.678849296422122e-05,6.68743234952712e-05,-2.107506515630126e-05,-0.00031438408678557836,-3.706984115964767e-05,-0.00014830891053176215,0.5,33,0.5,0.45,33,0.5
