anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,cut_pixels,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,edited,image,num_accepted_cuts,r233_boundary_f1,r233_boundary_iou,r233_component_count_mae,r233_component_delta_mean,r233_dice,r233_gap_region_fp_rate,r233_iou,r233_precision,r233_recall
0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10375.png,0.0,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766
0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,9.0,0.0005453574895408764,0.00042983230463083943,0.0,0.0,0.00014505450603430337,-0.000499251123315031,0.00023885169871740164,0.00027558228430524245,0.0,1.0,10520.png,1.0,0.40730810001870676,0.2557356510844883,0.0,0.0,0.8979840953560594,0.19531813391024574,0.8148558397133083,0.8752799552071668,0.9218974604695735
0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10618.png,0.0,0.3221402721150763,0.191994757822312,1.0,1.0,0.8875239843163427,0.1942885855455992,0.7977915674621773,0.8967820791098561,0.8784550915508949
0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10624.png,0.0,0.2542683228584154,0.14565143440299352,3.0,-3.0,0.8543689320388349,0.3637540453074434,0.7457627118644068,0.8009068515248621,0.915478919565434
0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,31.0,0.0009377852061650538,0.0007401225948540091,0.0,0.0,0.0002529894224063689,-0.0010857763300760048,0.000399296544753569,0.0004860212264536923,0.0,1.0,11852.png,1.0,0.40857222376843866,0.25673312346974464,1.0,1.0,0.8744375361750593,0.1947014115092291,0.7768893902196271,0.8571376281112738,0.8924501695948779
0.474025974025974,0.31063829787234043,1.0,-1.0,0.9386339329588484,0.1479247206763244,0.8843639928828207,0.9331583585577992,0.9441741456512047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11945.png,0.0,0.474025974025974,0.31063829787234043,1.0,-1.0,0.9386339329588484,0.1479247206763244,0.8843639928828207,0.9331583585577992,0.9441741456512047
0.4627277747101049,0.3010057471264368,0.0,0.0,0.9495969934624726,0.11915764224487636,0.9040311076342552,0.9587379825289152,0.9406286658207847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12498.png,0.0,0.4627277747101049,0.3010057471264368,0.0,0.0,0.9495969934624726,0.11915764224487636,0.9040311076342552,0.9587379825289152,0.9406286658207847
0.49643203744933495,0.3301693370795049,1.0,1.0,0.9165367550065955,0.12797357964807266,0.8459324847814056,0.92432350718065,0.9088801022683355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12627.png,0.0,0.49643203744933495,0.3301693370795049,1.0,1.0,0.9165367550065955,0.12797357964807266,0.8459324847814056,0.92432350718065,0.9088801022683355
0.3760599262329366,0.23157253910274422,2.0,2.0,0.925741399762752,0.2176649226153452,0.8617491166077739,0.9180576432912881,0.9335548614341729,5.0,0.00025146193796199423,0.00019073461202306907,0.0,0.0,3.050520314240579e-05,-0.00018294244630637224,5.2868692659302496e-05,6.0003767535343755e-05,0.0,1.0,12827.png,1.0,0.3763113881708986,0.2317632737147673,2.0,2.0,0.9257719049658945,0.21748198016903883,0.8618019853004332,0.9181176470588235,0.9335548614341729
0.530457359696425,0.36096765425387334,0.0,0.0,0.9050989056512583,0.06088421052631579,0.8266490099634254,0.9477299016772701,0.8661380905186653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13220.png,0.0,0.530457359696425,0.36096765425387334,0.0,0.0,0.9050989056512583,0.06088421052631579,0.8266490099634254,0.9477299016772701,0.8661380905186653
