accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.35,0.4087354832739555,0.25686206094440567,1.0,1.0,0.874109618454587,0.19517915309446254,0.776371867796554,0.8568238803784842,0.8921071687183201,1.0,32.0,0.5625,0.4375,0.0011010447116818756,0.0008690600695150374,0.0,0.0,-7.492829806587942e-05,-0.000608034744842556,-0.00011822587831955556,0.00017227349366411016,-0.00034300087655780853,0.0,11852.png,1.0,19.0,1.0,low_mean_prob,0.0,0.18287530083419476,0.9991962709819315
0.0,0.35,0.40601156069364164,0.25471424427038003,1.0,1.0,0.8739787677052502,0.19522258414766558,0.776165442212972,0.8568185562858137,0.8918403902587752,1.0,48.0,0.6666666666666666,0.3333333333333333,-0.0016228778686319667,-0.0012787566045106002,0.0,0.0,-0.00020577904740270991,-0.0005646036916395203,-0.00032465146190152616,0.000166949400993599,-0.0006097793361027337,1.0,11852.png,1.0,19.0,0.0,low_mean_prob,0.0,0.027879887492591817,0.04121389989232549
0.0,0.35,0.4547126220000943,0.2942576432537987,1.0,-1.0,0.9244536433919767,0.1056701030927835,0.8595200362236812,0.9487099394015118,0.9014067786549534,1.0,24.0,1.0,0.0,-0.0015654579242376787,-0.0013124811258348745,0.0,0.0,-0.00026183345057706475,0.0,-0.00045279601539505165,-2.562101060177291e-05,-0.000474861993233211,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,0.0,0.37927201990589277,0.9991426077167188
0.0,0.35,0.45657826313052524,0.29582210242587603,1.0,-1.0,0.9247124221460307,0.10558419243986254,0.8599675483944003,0.9487729231281614,0.9018420688154172,1.0,4.0,0.5,0.5,0.00030018320619323857,0.00025197804624244036,0.0,0.0,-3.0546965230637824e-06,-8.59106529209619e-05,-5.28384467601839e-06,3.736271604781738e-05,-3.957183276948051e-05,0.0,13480.png,0.0,21.0,1.0,low_mean_prob,0.0,0.011439382763931933,0.027776819951180268
1.0,0.35,0.27676216462028197,0.16060590067029082,4.0,-4.0,0.8649718470852208,0.2722510859381654,0.762070830458216,0.849083655404563,0.8814659821390052,1.0,12.0,0.0,1.0,6.865659061999763e-05,4.623857947771981e-05,0.0,0.0,0.00010984234427935391,-0.0005110297248956952,0.00017050789561456892,0.00021166238449565888,0.0,0.0,13867.png,0.0,19.0,1.0,accepted,1.0,0.43035868092449864,0.9866572629619563
0.0,0.35,0.27641093273909684,0.1603693931398417,4.0,-4.0,0.8649237933954276,0.2726343582318371,0.7619962328192312,0.8490711109263954,0.8813796971396523,1.0,16.0,0.25,0.75,-0.00028257529056513464,-0.00019026895097140617,0.0,0.0,6.178865448613902e-05,-0.00012775743122395156,9.591025662980535e-05,0.00019911790632809456,-8.628499935292577e-05,1.0,13867.png,0.0,19.0,0.0,low_mean_prob,1.0,0.012882502105141625,0.04265073256007565
0.0,0.35,0.4544784673325692,0.29406155639137577,3.0,-3.0,0.9403014604049271,0.21089851883864377,0.8873292028544559,0.9201216101877214,0.9613863166411939,1.0,8.0,0.75,0.25,-0.00011913961711118581,-9.976301255909537e-05,0.0,0.0,-3.280837296215644e-05,-7.857619926923687e-05,-5.8433710334537814e-05,1.951523367849095e-05,-8.990380293094624e-05,1.0,14041.png,1.0,19.0,0.0,low_mean_prob,0.0,0.06634795167344913,0.17815387422851087
0.0,0.35,0.4396930700983135,0.28179908816146715,1.0,-1.0,0.9394355745281148,0.19084602624038607,0.8857883141895169,0.9265083114737468,0.9527286817084438,1.0,23.0,1.0,0.0,-0.0009142773637272894,-0.0007515232864827026,0.0,0.0,-0.00017919414208789064,0.0,-0.0003186787302731364,-2.44887116959136e-05,-0.00034276176567016314,1.0,15040.png,1.0,20.0,0.0,recall_drop,0.0,0.6155183975624818,0.9994669518154168
0.0,0.35,0.44063725882635496,0.28257521306088923,1.0,-1.0,0.939608557658399,0.19058211431156688,0.8860959454590804,0.926619330531807,0.9529671246758666,1.0,14.0,0.5,0.5,2.991136431418351e-05,2.4601612939378903e-05,0.0,0.0,-6.211011803647359e-06,-0.0002639119288191938,-1.1047460709567858e-05,8.653034636429968e-05,-0.00010431879824734924,0.0,15040.png,0.0,20.0,1.0,low_mean_prob,0.0,0.00832528830096277,0.01931481839319673
0.0,0.35,0.448678009425673,0.2892230060244066,2.0,-2.0,0.937585728506149,0.19184534800467273,0.8825048323078513,0.9204653882852658,0.9553550035939622,1.0,14.0,0.2857142857142857,0.7142857142857143,3.800942567300236e-05,3.158688249238484e-05,0.0,0.0,4.0174927303016084e-05,-0.0003768323472886914,7.118375290382506e-05,0.00013673245070155993,-6.389266033057783e-05,0.0,15067.png,0.0,20.0,1.0,recall_drop,0.0,0.6915089109513205,0.9862331918887086
0.0,0.35,0.49313005834744966,0.32725455908068946,0.0,0.0,0.931253893387915,0.11311750290210242,0.8713518464548898,0.9398055636633064,0.9228564499415746,1.0,4.0,1.0,0.0,-0.00018570139647805517,-0.0001635863829446138,0.0,0.0,-4.7552663252958816e-05,0.0,-8.326741329789389e-05,-5.405512546130531e-06,-8.8189254139448e-05,1.0,15369.png,1.0,19.0,0.0,low_mean_prob,0.0,0.010863576785274796,0.014644076676021214
0.0,0.35,0.4167404057287058,0.26321672531566964,2.0,-2.0,0.9323138589015949,0.1946651709201957,0.8732096662249984,0.9270729828400451,0.9376143266863892,1.0,14.0,0.35714285714285715,0.6428571428571429,0.00019130634880487607,0.00015261690739815092,0.0,0.0,1.713432330197051e-05,-0.0002804524633074623,3.0060954922750405e-05,8.906848129408562e-05,-5.645762290817924e-05,0.0,1620.png,0.0,20.0,1.0,low_mean_prob,0.0,0.086366488246486,0.09605265451219402
0.0,0.35,0.41623500098354205,0.2628136126521487,2.0,-2.0,0.9322547687747701,0.19494562338350316,0.873106000862223,0.9269782084486916,0.9375917436372259,1.0,7.0,1.0,0.0,-0.00031409839635887504,-0.00025049575612279273,0.0,0.0,-4.1955803522841784e-05,0.0,-7.360440785264544e-05,-5.705910059439212e-06,-7.904067207153975e-05,1.0,1620.png,1.0,20.0,0.0,low_mean_prob,0.0,0.0062917155870682645,0.017139056686840487
0.0,0.35,0.21266981432668075,0.11898742382989758,2.0,-2.0,0.9039814666002893,0.19723747892761978,0.8247866610396206,0.9315022013975846,0.8780402369747643,1.0,10.0,1.0,0.0,-0.00013561160300243347,-8.490831411799016e-05,0.0,0.0,-4.296140725235098e-05,0.0,-7.153024656469942e-05,-5.533163585091927e-06,-7.614870318761735e-05,1.0,1736.png,1.0,20.0,0.0,low_mean_prob,0.0,0.3549509651516041,0.5297022641450846
