accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
89,89,-0.0003898501448860725,-0.00031422716073818533,-0.00013931894774902472,-0.0005981350612125553,-0.00023473926668801128,-0.00048154125295800826,0.23595505617977527,63,0.7078651685393258,0.6,21,0.1
91,91,-0.0004700531634141429,-0.0003775748292712883,-0.00014977256945634634,-0.0005521478523738193,-0.0002527560113541715,-0.0004837775268371651,0.21978021978021978,66,0.7252747252747253,0.65,20,0.1
91,91,-0.0005301214247819309,-0.0004187176643412762,-0.00016621924624775336,-0.0005327431874923819,-0.00028117120841842,-0.000510580177331587,0.21978021978021978,67,0.7362637362637363,0.7,20,0.1
92,92,-0.000549244058159756,-0.00043009733264438854,-0.00016708281002107995,-0.0005335310028784304,-0.0002827409971461536,-0.0005111505357925155,0.21739130434782608,68,0.7391304347826086,0.75,20,0.1
92,92,-0.000549244058159756,-0.00043009733264438854,-0.00016708281002107995,-0.0005335310028784304,-0.0002827409971461536,-0.0005111505357925155,0.21739130434782608,68,0.7391304347826086,0.8,20,0.1
0,0,,,,,,,0.0,0,0.0,0.1,0,0.15
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.15,0,0.15
2,2,-0.00037194916195897043,-0.0002590306438153764,5.570065446530714e-05,-0.000838334054916387,9.897692025578886e-05,-0.00032869055798828706,0.5,1,0.5,0.2,1,0.15
3,3,0.00036902579737802904,0.0002184536883215691,-4.833756401330843e-05,-0.0008629956263140429,-7.615093328590856e-05,-0.00044034150608503647,0.6666666666666666,1,0.3333333333333333,0.25,2,0.15
6,6,0.000581240142119438,0.00034531796372987145,3.101691343696903e-05,-0.0012333642286925471,5.7293200004471245e-05,-0.000339059372113278,0.3333333333333333,3,0.5,0.3,2,0.15
16,16,-0.00016478658781924477,-0.0002033197733539282,-0.00012102955804865756,-0.0007444247400543802,-0.00020210098281578381,-0.0004407303877427479,0.1875,11,0.6875,0.35,3,0.15
37,37,-0.0005270390844952886,-0.0004725008741705741,-0.00022471941441635942,-0.000532804684907088,-0.00037673973100498307,-0.0005728721942404516,0.1891891891891892,28,0.7567567567567568,0.4,7,0.15
53,53,-0.00027502631834752184,-0.0002231711972680232,-0.00014956700951206445,-0.0006242303040747505,-0.00024429244972441625,-0.0004833943385681292,0.2641509433962264,36,0.6792452830188679,0.45,14,0.15
72,72,-0.00050671852359243,-0.00041125869753486186,-0.00015338393587463936,-0.0005379597565199627,-0.00025936417813124624,-0.0004831751605898601,0.2222222222222222,52,0.7222222222222222,0.5,16,0.15
82,82,-0.00046993545881928464,-0.0003806108680068204,-0.0001566657329695539,-0.0005424519012697968,-0.00026488803584350337,-0.0004984798823621469,0.2073170731707317,60,0.7317073170731707,0.55,17,0.15
89,89,-0.0003898501448860725,-0.00031422716073818533,-0.00013931894774902472,-0.0005981350612125553,-0.00023473926668801128,-0.00048154125295800826,0.23595505617977527,63,0.7078651685393258,0.6,21,0.15
91,91,-0.0004700531634141429,-0.0003775748292712883,-0.00014977256945634634,-0.0005521478523738193,-0.0002527560113541715,-0.0004837775268371651,0.21978021978021978,66,0.7252747252747253,0.65,20,0.15
91,91,-0.0005301214247819309,-0.0004187176643412762,-0.00016621924624775336,-0.0005327431874923819,-0.00028117120841842,-0.000510580177331587,0.21978021978021978,67,0.7362637362637363,0.7,20,0.15
92,92,-0.000549244058159756,-0.00043009733264438854,-0.00016708281002107995,-0.0005335310028784304,-0.0002827409971461536,-0.0005111505357925155,0.21739130434782608,68,0.7391304347826086,0.75,20,0.15
92,92,-0.000549244058159756,-0.00043009733264438854,-0.00016708281002107995,-0.0005335310028784304,-0.0002827409971461536,-0.0005111505357925155,0.21739130434782608,68,0.7391304347826086,0.8,20,0.15
0,0,,,,,,,0.0,0,0.0,0.1,0,0.2
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.15,0,0.2
2,2,-0.00037194916195897043,-0.0002590306438153764,5.570065446530714e-05,-0.000838334054916387,9.897692025578886e-05,-0.00032869055798828706,0.5,1,0.5,0.2,1,0.2
3,3,0.00036902579737802904,0.0002184536883215691,-4.833756401330843e-05,-0.0008629956263140429,-7.615093328590856e-05,-0.00044034150608503647,0.6666666666666666,1,0.3333333333333333,0.25,2,0.2
6,6,0.000581240142119438,0.00034531796372987145,3.101691343696903e-05,-0.0012333642286925471,5.7293200004471245e-05,-0.000339059372113278,0.3333333333333333,3,0.5,0.3,2,0.2
16,16,-0.00016478658781924477,-0.0002033197733539282,-0.00012102955804865756,-0.0007444247400543802,-0.00020210098281578381,-0.0004407303877427479,0.1875,11,0.6875,0.35,3,0.2
36,36,-0.0005112456676182644,-0.0004666315261105415,-0.0002136001711412483,-0.0004957662748166899,-0.0003583555632829157,-0.0005499071409498513,0.19444444444444445,27,0.75,0.4,7,0.2
