accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
28,28,-0.00017729580968510065,-0.00015289828689685352,-0.00015355371195341756,-0.00039512617473030427,-0.00026214105107094453,-0.000505544278494375,0.2857142857142857,20,0.7142857142857143,0.8,8,0.25
0,0,,,,,,,0.0,0,0.0,0.1,0,0.3
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.15,0,0.3
2,2,-0.00037620364564222575,-0.0003055722952493706,-0.00026634592104524124,-0.00038094068378167686,-0.000465218665694378,-0.0006444585979507589,0.0,2,1.0,0.2,0,0.3
4,4,0.00021986912432903072,0.00017344546078074813,-0.0001634888502835552,-0.000570492057417436,-0.0002885643467690213,-0.0005072391055322423,0.25,3,0.75,0.25,1,0.3
7,7,-0.00025367259205325406,-0.00022895422624399125,-0.00021007619443737444,-0.0005254450105939913,-0.0003540980266958054,-0.0005511095201368958,0.14285714285714285,5,0.7142857142857143,0.3,1,0.3
9,9,-0.0006742742233654336,-0.0005351452703876605,-0.00027055987407386,-0.00028702495146767,-0.00044893796618322094,-0.0005828127608970249,0.1111111111111111,8,0.8888888888888888,0.35,1,0.3
9,9,-0.0006742742233654336,-0.0005351452703876605,-0.00027055987407386,-0.00028702495146767,-0.00044893796618322094,-0.0005828127608970249,0.1111111111111111,8,0.8888888888888888,0.4,1,0.3
10,10,-0.00018660391517353602,-0.00010619425299881608,-0.0001927687884714091,-0.0003718474060087101,-0.00031928722509131366,-0.0004891907578980614,0.2,8,0.8,0.45,2,0.3
11,11,-0.00016889298784918,-9.5919518275782e-05,-0.00017684669533020575,-0.00039970657138243344,-0.0002931000615886995,-0.0004708567773153175,0.2727272727272727,8,0.7272727272727273,0.5,3,0.3
