accepted,accepted_candidate_summary,accepted_components,accepted_cut_pixels,accepted_mean_prob,delta_assd_px,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_merge_rate,delta_dice,delta_gap_region_fp_rate,delta_hd95_px,delta_instance_merge_count,delta_iou,delta_pred_component_count,delta_recall,delta_surface_dice_2px,delta_surface_dice_5px,gate_pass,image,threshold
1.0,"[{""candidate_prob"": 0.8176254206172734, ""candidate_rank"": 1.0, ""cut_area"": 28.0, ""cut_frac_component"": 0.00451758631816715, ""dist_ratio"": 0.1521440055971028, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.403141004135471, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.666666666666667, ""split_gain"": 0.0}]",1.0,28.0,0.8176254206172734,-0.000558332718898491,0.000320975766329612,0.00023811216148977854,0.0,0.0,-9.206255139559971e-06,-0.0007050860204945025,0.0,0.0,-1.5268025083892134e-05,0.0,-0.000299725635764192,0.0006207582822296276,-0.00022394756928711956,0.0,15446.png,0.55
1.0,"[{""candidate_prob"": 0.7167465558965654, ""candidate_rank"": 2.0, ""cut_area"": 82.0, ""cut_frac_component"": 0.002765039115187483, ""dist_ratio"": 0.12258733502316826, ""fill"": 0.27702702702702703, ""gradient_ratio"": 2.3089335111638016, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.625, ""split_gain"": 0.0}]",1.0,82.0,0.7167465558965654,0.011748670832162356,-0.0033893919636251435,-0.00269782621388559,0.0,0.0,-0.00049168928179677,0.0,0.0,0.0,-0.0008622230634155459,0.0,-0.0009259050156952275,-0.005259790053671498,1.4445628227832685e-05,0.0,1620.png,0.55
1.0,"[{""candidate_prob"": 0.565814083981092, ""candidate_rank"": 1.0, ""cut_area"": 58.0, ""cut_frac_component"": 0.0020262008733624454, ""dist_ratio"": 0.14325328351638394, ""fill"": 0.4142857142857143, ""gradient_ratio"": 2.270329698932938, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.6, ""split_gain"": 0.0}]",1.0,58.0,0.565814083981092,-0.00819391169107897,0.0032708609863547067,0.002513612611521804,0.0,0.0,0.00034594775948626477,-0.002417944232945779,0.0,0.0,0.0005760082329012706,0.0,-0.00026443579018220476,0.0012462743160025491,-6.6980643577130294e-06,0.0,2248.png,0.55
1.0,"[{""candidate_prob"": 0.7022439957784083, ""candidate_rank"": 2.0, ""cut_area"": 48.0, ""cut_frac_component"": 0.0010485615046857593, ""dist_ratio"": 0.14085404203043617, ""fill"": 0.6666666666666666, ""gradient_ratio"": 3.2005243182477185, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,48.0,0.7022439957784083,0.008484169435654998,-0.0005748307986175316,-0.0004268813381034242,0.0,0.0,-0.00034703584123618736,0.0,0.0,0.0,-0.0006021149286870031,0.0,-0.0006460035261025565,-0.002920443207920842,2.9978548331643928e-05,0.0,3058.png,0.55
1.0,"[{""candidate_prob"": 0.7115098453592494, ""candidate_rank"": 1.0, ""cut_area"": 54.0, ""cut_frac_component"": 0.005226480836236934, ""dist_ratio"": 0.16305070100230307, ""fill"": 0.5, ""gradient_ratio"": 2.051450429756965, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 6.75, ""split_gain"": 0.0}]",1.0,54.0,0.7115098453592494,0.012510669543303932,-0.003851934296755677,-0.0033947333967553894,0.0,0.0,-0.0008644346040402873,0.0,0.0,0.0,-0.001482010044734694,0.0,-0.0015832991262535456,-0.005140131508913903,6.352240663365372e-06,0.0,3468.png,0.55
1.0,"[{""candidate_prob"": 0.7779746501104623, ""candidate_rank"": 1.0, ""cut_area"": 139.0, ""cut_frac_component"": 0.003118899634258532, ""dist_ratio"": 0.12225769686865347, ""fill"": 0.3088888888888889, ""gradient_ratio"": 2.7853502652257838, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,139.0,0.7779746501104623,0.010539007627784702,-0.0030736002590264766,-0.002482126946986851,0.0,0.0,-0.00046394721746856327,-0.0012531328320802004,0.0,0.0,-0.0008311969586408674,0.0,-0.0012332338916163366,-0.0030833480374198308,2.735971136569315e-05,0.0,6605.png,0.55
1.0,"[{""candidate_prob"": 0.6616383886428511, ""candidate_rank"": 2.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.0057306590257879654, ""dist_ratio"": 0.16870560912701713, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.242720375613268, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.6616383886428511,0.007172550885243378,-0.00012588496588239462,-9.334871119046073e-05,0.0,0.0,-0.00029930459391269704,0.0,0.0,0.0,-0.0005036091992612901,0.0,-0.0005429864253393424,-0.00022446432070233335,-0.0012386781623194842,0.0,7259.png,0.55
1.0,"[{""candidate_prob"": 0.7324985971885724, ""candidate_rank"": 1.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.005647590361445783, ""dist_ratio"": 0.16399249022778378, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.2780910945006743, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.7324985971885724,0.005781661686028894,-0.00013577542298764955,-0.00010043355795338882,0.0,0.0,-0.0003445195175100224,0.0,0.0,0.0,-0.0005776451333397992,0.0,-0.0006181233774261718,-0.0019158886888278603,1.626642879404283e-05,0.0,8253.png,0.55
1.0,"[{""candidate_prob"": 0.8176254206172734, ""candidate_rank"": 1.0, ""cut_area"": 28.0, ""cut_frac_component"": 0.00451758631816715, ""dist_ratio"": 0.1521440055971028, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.403141004135471, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.666666666666667, ""split_gain"": 0.0}]",1.0,28.0,0.8176254206172734,-0.000558332718898491,0.000320975766329612,0.00023811216148977854,0.0,0.0,-9.206255139559971e-06,-0.0007050860204945025,0.0,0.0,-1.5268025083892134e-05,0.0,-0.000299725635764192,0.0006207582822296276,-0.00022394756928711956,0.0,15446.png,0.6
1.0,"[{""candidate_prob"": 0.7167465558965654, ""candidate_rank"": 2.0, ""cut_area"": 82.0, ""cut_frac_component"": 0.002765039115187483, ""dist_ratio"": 0.12258733502316826, ""fill"": 0.27702702702702703, ""gradient_ratio"": 2.3089335111638016, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.625, ""split_gain"": 0.0}]",1.0,82.0,0.7167465558965654,0.011748670832162356,-0.0033893919636251435,-0.00269782621388559,0.0,0.0,-0.00049168928179677,0.0,0.0,0.0,-0.0008622230634155459,0.0,-0.0009259050156952275,-0.005259790053671498,1.4445628227832685e-05,0.0,1620.png,0.6
1.0,"[{""candidate_prob"": 0.7022439957784083, ""candidate_rank"": 2.0, ""cut_area"": 48.0, ""cut_frac_component"": 0.0010485615046857593, ""dist_ratio"": 0.14085404203043617, ""fill"": 0.6666666666666666, ""gradient_ratio"": 3.2005243182477185, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,48.0,0.7022439957784083,0.008484169435654998,-0.0005748307986175316,-0.0004268813381034242,0.0,0.0,-0.00034703584123618736,0.0,0.0,0.0,-0.0006021149286870031,0.0,-0.0006460035261025565,-0.002920443207920842,2.9978548331643928e-05,0.0,3058.png,0.6
1.0,"[{""candidate_prob"": 0.7115098453592494, ""candidate_rank"": 1.0, ""cut_area"": 54.0, ""cut_frac_component"": 0.005226480836236934, ""dist_ratio"": 0.16305070100230307, ""fill"": 0.5, ""gradient_ratio"": 2.051450429756965, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 6.75, ""split_gain"": 0.0}]",1.0,54.0,0.7115098453592494,0.012510669543303932,-0.003851934296755677,-0.0033947333967553894,0.0,0.0,-0.0008644346040402873,0.0,0.0,0.0,-0.001482010044734694,0.0,-0.0015832991262535456,-0.005140131508913903,6.352240663365372e-06,0.0,3468.png,0.6
1.0,"[{""candidate_prob"": 0.7779746501104623, ""candidate_rank"": 1.0, ""cut_area"": 139.0, ""cut_frac_component"": 0.003118899634258532, ""dist_ratio"": 0.12225769686865347, ""fill"": 0.3088888888888889, ""gradient_ratio"": 2.7853502652257838, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,139.0,0.7779746501104623,0.010539007627784702,-0.0030736002590264766,-0.002482126946986851,0.0,0.0,-0.00046394721746856327,-0.0012531328320802004,0.0,0.0,-0.0008311969586408674,0.0,-0.0012332338916163366,-0.0030833480374198308,2.735971136569315e-05,0.0,6605.png,0.6
1.0,"[{""candidate_prob"": 0.6616383886428511, ""candidate_rank"": 2.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.0057306590257879654, ""dist_ratio"": 0.16870560912701713, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.242720375613268, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.6616383886428511,0.007172550885243378,-0.00012588496588239462,-9.334871119046073e-05,0.0,0.0,-0.00029930459391269704,0.0,0.0,0.0,-0.0005036091992612901,0.0,-0.0005429864253393424,-0.00022446432070233335,-0.0012386781623194842,0.0,7259.png,0.6
1.0,"[{""candidate_prob"": 0.7324985971885724, ""candidate_rank"": 1.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.005647590361445783, ""dist_ratio"": 0.16399249022778378, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.2780910945006743, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.7324985971885724,0.005781661686028894,-0.00013577542298764955,-0.00010043355795338882,0.0,0.0,-0.0003445195175100224,0.0,0.0,0.0,-0.0005776451333397992,0.0,-0.0006181233774261718,-0.0019158886888278603,1.626642879404283e-05,0.0,8253.png,0.6
1.0,"[{""candidate_prob"": 0.8176254206172734, ""candidate_rank"": 1.0, ""cut_area"": 28.0, ""cut_frac_component"": 0.00451758631816715, ""dist_ratio"": 0.1521440055971028, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.403141004135471, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.666666666666667, ""split_gain"": 0.0}]",1.0,28.0,0.8176254206172734,-0.000558332718898491,0.000320975766329612,0.00023811216148977854,0.0,0.0,-9.206255139559971e-06,-0.0007050860204945025,0.0,0.0,-1.5268025083892134e-05,0.0,-0.000299725635764192,0.0006207582822296276,-0.00022394756928711956,0.0,15446.png,0.65
1.0,"[{""candidate_prob"": 0.7167465558965654, ""candidate_rank"": 2.0, ""cut_area"": 82.0, ""cut_frac_component"": 0.002765039115187483, ""dist_ratio"": 0.12258733502316826, ""fill"": 0.27702702702702703, ""gradient_ratio"": 2.3089335111638016, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.625, ""split_gain"": 0.0}]",1.0,82.0,0.7167465558965654,0.011748670832162356,-0.0033893919636251435,-0.00269782621388559,0.0,0.0,-0.00049168928179677,0.0,0.0,0.0,-0.0008622230634155459,0.0,-0.0009259050156952275,-0.005259790053671498,1.4445628227832685e-05,0.0,1620.png,0.65
1.0,"[{""candidate_prob"": 0.7022439957784083, ""candidate_rank"": 2.0, ""cut_area"": 48.0, ""cut_frac_component"": 0.0010485615046857593, ""dist_ratio"": 0.14085404203043617, ""fill"": 0.6666666666666666, ""gradient_ratio"": 3.2005243182477185, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,48.0,0.7022439957784083,0.008484169435654998,-0.0005748307986175316,-0.0004268813381034242,0.0,0.0,-0.00034703584123618736,0.0,0.0,0.0,-0.0006021149286870031,0.0,-0.0006460035261025565,-0.002920443207920842,2.9978548331643928e-05,0.0,3058.png,0.65
1.0,"[{""candidate_prob"": 0.7115098453592494, ""candidate_rank"": 1.0, ""cut_area"": 54.0, ""cut_frac_component"": 0.005226480836236934, ""dist_ratio"": 0.16305070100230307, ""fill"": 0.5, ""gradient_ratio"": 2.051450429756965, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 6.75, ""split_gain"": 0.0}]",1.0,54.0,0.7115098453592494,0.012510669543303932,-0.003851934296755677,-0.0033947333967553894,0.0,0.0,-0.0008644346040402873,0.0,0.0,0.0,-0.001482010044734694,0.0,-0.0015832991262535456,-0.005140131508913903,6.352240663365372e-06,0.0,3468.png,0.65
1.0,"[{""candidate_prob"": 0.7779746501104623, ""candidate_rank"": 1.0, ""cut_area"": 139.0, ""cut_frac_component"": 0.003118899634258532, ""dist_ratio"": 0.12225769686865347, ""fill"": 0.3088888888888889, ""gradient_ratio"": 2.7853502652257838, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,139.0,0.7779746501104623,0.010539007627784702,-0.0030736002590264766,-0.002482126946986851,0.0,0.0,-0.00046394721746856327,-0.0012531328320802004,0.0,0.0,-0.0008311969586408674,0.0,-0.0012332338916163366,-0.0030833480374198308,2.735971136569315e-05,0.0,6605.png,0.65
1.0,"[{""candidate_prob"": 0.6616383886428511, ""candidate_rank"": 2.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.0057306590257879654, ""dist_ratio"": 0.16870560912701713, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.242720375613268, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.6616383886428511,0.007172550885243378,-0.00012588496588239462,-9.334871119046073e-05,0.0,0.0,-0.00029930459391269704,0.0,0.0,0.0,-0.0005036091992612901,0.0,-0.0005429864253393424,-0.00022446432070233335,-0.0012386781623194842,0.0,7259.png,0.65
1.0,"[{""candidate_prob"": 0.7324985971885724, ""candidate_rank"": 1.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.005647590361445783, ""dist_ratio"": 0.16399249022778378, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.2780910945006743, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.7324985971885724,0.005781661686028894,-0.00013577542298764955,-0.00010043355795338882,0.0,0.0,-0.0003445195175100224,0.0,0.0,0.0,-0.0005776451333397992,0.0,-0.0006181233774261718,-0.0019158886888278603,1.626642879404283e-05,0.0,8253.png,0.65
1.0,"[{""candidate_prob"": 0.8176254206172734, ""candidate_rank"": 1.0, ""cut_area"": 28.0, ""cut_frac_component"": 0.00451758631816715, ""dist_ratio"": 0.1521440055971028, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.403141004135471, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.666666666666667, ""split_gain"": 0.0}]",1.0,28.0,0.8176254206172734,-0.000558332718898491,0.000320975766329612,0.00023811216148977854,0.0,0.0,-9.206255139559971e-06,-0.0007050860204945025,0.0,0.0,-1.5268025083892134e-05,0.0,-0.000299725635764192,0.0006207582822296276,-0.00022394756928711956,0.0,15446.png,0.7
1.0,"[{""candidate_prob"": 0.7167465558965654, ""candidate_rank"": 2.0, ""cut_area"": 82.0, ""cut_frac_component"": 0.002765039115187483, ""dist_ratio"": 0.12258733502316826, ""fill"": 0.27702702702702703, ""gradient_ratio"": 2.3089335111638016, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.625, ""split_gain"": 0.0}]",1.0,82.0,0.7167465558965654,0.011748670832162356,-0.0033893919636251435,-0.00269782621388559,0.0,0.0,-0.00049168928179677,0.0,0.0,0.0,-0.0008622230634155459,0.0,-0.0009259050156952275,-0.005259790053671498,1.4445628227832685e-05,0.0,1620.png,0.7
1.0,"[{""candidate_prob"": 0.7022439957784083, ""candidate_rank"": 2.0, ""cut_area"": 48.0, ""cut_frac_component"": 0.0010485615046857593, ""dist_ratio"": 0.14085404203043617, ""fill"": 0.6666666666666666, ""gradient_ratio"": 3.2005243182477185, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,48.0,0.7022439957784083,0.008484169435654998,-0.0005748307986175316,-0.0004268813381034242,0.0,0.0,-0.00034703584123618736,0.0,0.0,0.0,-0.0006021149286870031,0.0,-0.0006460035261025565,-0.002920443207920842,2.9978548331643928e-05,0.0,3058.png,0.7
1.0,"[{""candidate_prob"": 0.7115098453592494, ""candidate_rank"": 1.0, ""cut_area"": 54.0, ""cut_frac_component"": 0.005226480836236934, ""dist_ratio"": 0.16305070100230307, ""fill"": 0.5, ""gradient_ratio"": 2.051450429756965, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 6.75, ""split_gain"": 0.0}]",1.0,54.0,0.7115098453592494,0.012510669543303932,-0.003851934296755677,-0.0033947333967553894,0.0,0.0,-0.0008644346040402873,0.0,0.0,0.0,-0.001482010044734694,0.0,-0.0015832991262535456,-0.005140131508913903,6.352240663365372e-06,0.0,3468.png,0.7
1.0,"[{""candidate_prob"": 0.7779746501104623, ""candidate_rank"": 1.0, ""cut_area"": 139.0, ""cut_frac_component"": 0.003118899634258532, ""dist_ratio"": 0.12225769686865347, ""fill"": 0.3088888888888889, ""gradient_ratio"": 2.7853502652257838, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,139.0,0.7779746501104623,0.010539007627784702,-0.0030736002590264766,-0.002482126946986851,0.0,0.0,-0.00046394721746856327,-0.0012531328320802004,0.0,0.0,-0.0008311969586408674,0.0,-0.0012332338916163366,-0.0030833480374198308,2.735971136569315e-05,0.0,6605.png,0.7
1.0,"[{""candidate_prob"": 0.7324985971885724, ""candidate_rank"": 1.0, ""cut_area"": 30.0, ""cut_frac_component"": 0.005647590361445783, ""dist_ratio"": 0.16399249022778378, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.2780910945006743, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 5.0, ""split_gain"": 0.0}]",1.0,30.0,0.7324985971885724,0.005781661686028894,-0.00013577542298764955,-0.00010043355795338882,0.0,0.0,-0.0003445195175100224,0.0,0.0,0.0,-0.0005776451333397992,0.0,-0.0006181233774261718,-0.0019158886888278603,1.626642879404283e-05,0.0,8253.png,0.7
1.0,"[{""candidate_prob"": 0.8176254206172734, ""candidate_rank"": 1.0, ""cut_area"": 28.0, ""cut_frac_component"": 0.00451758631816715, ""dist_ratio"": 0.1521440055971028, ""fill"": 0.6666666666666666, ""gradient_ratio"": 2.403141004135471, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.666666666666667, ""split_gain"": 0.0}]",1.0,28.0,0.8176254206172734,-0.000558332718898491,0.000320975766329612,0.00023811216148977854,0.0,0.0,-9.206255139559971e-06,-0.0007050860204945025,0.0,0.0,-1.5268025083892134e-05,0.0,-0.000299725635764192,0.0006207582822296276,-0.00022394756928711956,0.0,15446.png,0.75
1.0,"[{""candidate_prob"": 0.7779746501104623, ""candidate_rank"": 1.0, ""cut_area"": 139.0, ""cut_frac_component"": 0.003118899634258532, ""dist_ratio"": 0.12225769686865347, ""fill"": 0.3088888888888889, ""gradient_ratio"": 2.7853502652257838, ""min_piece_frac"": 0.0, ""piece_count"": 1.0, ""slenderness"": 4.5, ""split_gain"": 0.0}]",1.0,139.0,0.7779746501104623,0.010539007627784702,-0.0030736002590264766,-0.002482126946986851,0.0,0.0,-0.00046394721746856327,-0.0012531328320802004,0.0,0.0,-0.0008311969586408674,0.0,-0.0012332338916163366,-0.0030833480374198308,2.735971136569315e-05,0.0,6605.png,0.75
